"landmark_alias","landmark_fk"
"Riacho Riachão",626
"Rede Pharma",634
"Bloco BN (UFCG)",635
"Praça do Trabalho",637
"Nildo Lanches",640
"Bloco CW (UFCG)",643
"Clínica Santa Clara",644
"Rio Bodocongó",649
"Fiteiro",652
"Praça do CA",660
"Padaria Luna",661
"pasto para gado",662
"Anfiteatro Facisa",663
"Ailton casa",669
"Kasa Decor",670
"Igreja São José",672
"Anfiteatro",673
"Campina Grande (Nova)",677
"Rio Bodocongó",678
"Igreja São Viciente de Paula",679
"Central Revestir",683
"Laboratório de Programação 2",685
"Posto MasterGás",691
"Hospital da Criança e do Adolescente",693
"Tartaruga Burg",694
"Industria de Vidro",702
"Colégio Estadual da Prata",703
"Lave Quali",710
"EMEIEF Zezito Ribeiro",712
"Sesi Prata - Centro de Atividades",713
"Nord Easy Hotel",714
"Giraffa's",715
"Farra de Bodega",716
"Confortel Executive",718
"Igreja Cristã Nova Vida",720
"Ginásio Municipal Santiago Herculano de Lima",721
"Distrito Industrial de Queimadas",722
"Dias",724
"Campo do Leão",727
"The Woods Restô Bar",731
"Árvore dos namorados",737
"Edifício Jardim di Fiori",743
"Giga Byte",748
"Celino Business Center",750
"Ki Pastel da Liberdade",758
"Espaço dos Professores",763
"Praça Félix Araújo",764
"Cine Capitólio",766
"Escola Municipal Gracita Melo",767
"Sesc Centro",768
"Subway",771
"Café Poético",774
"Parque da Liberdade",777
"Templo das Testemunhas de Jeová",778
"Restaurante dois irmãos",780
"Escola Sonho e Realidade",784
"Centro de Formação de Educadores",785
"Posto Policial Chã Do Marinho",788
"Bloco CL (UFCG)",790
"Comercial Braga",791
"Parque da Liberdade",792
"Forúm Afonso Campos",794
"Régua Spetuss",801
"Freitas",802
"Bloco BU (UFCG)",806
"Igreja Capela da Guia",808
"Supermecado Todo Dia",812
"Forno Nobre Massas Finas",815
"Praça Lino Cavalcante",819
"Instituto dos Cegos",822
"São Paulo Alpargatas",827
"Memorial a Teodósio de Oliveira Lêdo",831
"Quadra de Tênis Hotel Garden",834
"Estacionamento CCT / CTRN",835
"Bloco BE (UFCG)",836
"Ginásio",837
"CAMPO DE FUTEBOL",838
"Cemitério do Santíssimo",839
"Posto Bodocongó",844
"Centro de atenção Integral da criança",849
"Campo do Leonel",850
"Árvore do Parquinho",851
"Bloco BF2 (UFCG)",854
"Catedral Diocesana Nossa Senhora da Conceição",855
"Igreja  catolica do Massapê",860
"Barbershop",871
"Praça Giradouro da Av. Floriano Peixoto",872
"JB Quentinhas",881
"CANTEIRO CENTRAL",882
"Praça da Bandeira",887
"Pirâmide do Parque do Povo",889
"Praça Quinze de Novembro",890
"Bloco BV1 (UFCG)",891
"Santo António",894
"Parque do Povo",899
"PP",899
"Museu de Arte Assis Chateaubriand",901
"Colégio Padre Anchieta",907
"Slap",908
"Escola Municipal 2",911
"Murão Restaurante & Churrascaria",914
"Clube Campestre",918
"Parque da Criança",919
"Escola Instituto São Vicente de Paula",920
"Pastel do Leandro",924
"Diniz",925
"Mercadinho do Zezinho",926
"Dida's Lanches",929
"Creche",931
"Terminal Rodoviário de Campina Grande",935
"Parque do Laguinho da UFCG",939
"Boi e Brasa Churrascaria",945
"Sedução",951
"Canal do Prado",957
"Bloco BE (UFCG)",958
"A Matutinha",965
"Campo de Futebol",967
"Praça Sebastião Santos",975
"Forno Nobre Massas Finas",977
"Posto São Luiz III",979
"Cemitério do Santíssimo",980
"Farra de Bodega",982
"Coreto",984
"Praça Frei Manfredo",985
"Margem do Canal da Ramadinha",986
"Jacauna",987
"Parque Ana Vilar",994
"O Meninão",996
"Laboratório de Biologia",999
"Motel OK",1000
"Supermercado Ideal",1005
"Igreja A Caminho de Sião",1013
"ÁREA VERDE",1017
"Granja Santa Ana",1019
"Campo de Futebol",1020
"Bloco BB - Praça de Alimentação (UFCG)",1023
"Uninassau",1040
"Estacionamento - Setor C",1041
"Pracinha ESFIT",1042
"Residencial Serra Ville Privê",1046
"Subway",1048
"RG Lanches",1051
"Banco do Brasil",1054
"Escola Instituto São Vicente de Paula",1055
"Campimagem",1057
