"landmark_alias","landmark_fk"
"Paróquia de São Pedro",2744
"Presídio do Serrotão",2745
"COMPLEXO FACISA",2747
"Cemitério Municipal de Lagoa Seca",2748
"Bar do Nil",2751
"Praça da Bandeira",2752
"Museu de Arte Assis Chateaubriand",2754
"Bloco CN (UFCG)",2755
"Carvalho Materiais de Construção",2760
"Panificadora Leal",2762
"Bloco AC (Restaurante Universitário - UFCG)",2765
"Fiori",2771
"Bloco AF1 (Caixa Econômica Federal)",2772
"31º Batalhão de Infantaria",2774
"Redepharma",2778
"Paróquia de Nossa Senhora das Graças",2779
"Parque infantil",2780
"Igreja Nossa Senhora de Fátima",2782
"1",2784
"Parque Evaldo Cruz",2786
"Edifício Alice Diniz",2788
"Bloco AI (Banco do Brasil)",2792
"igreja doutrina primitiva",2795
"Chapéu de Couro",2796
"GS Auto Posto",2797
"Barbearia",2800
"SEJA - Sociedade Espírita Joanna de Ângelis",2802
"SENAI CITI - Centro de Inovação e Tecnologia Industrial",2804
"Arquivo Setorial (UFCG)",2807
"Mercearia São José",2809
"Jenipapo Internet e Papelaria",2811
"Teatro Municipal Severino Cabral",2813
"Bicho Mimado",2814
"Lanchonete do Baiano",2818
"Bloco AC (Restaurante Universitário - UFCG)",2821
"Padaria Golden Massas",2822
"Movida",2823
"SPLAB (UFCG)",2824
"Praça Rosa Mística",2826
"Canal das Três Irmãs",2827
"Banco do Brasil",2828
"Casa.",2830
"Alto da Serra",2831
"Praça do Rosário",2839
"Bloco AB (UFCG)",2842
"Tapioca",2847
"Edifício Samuel Diniz",2849
"Freitas",2850
"Mercadinho Maranata",2854
"Coreto do CAA",2861
"Motel OK",2862
"Pão da Vida",2866
"Complexo Juridico Des. Luis Silvio Ramalho",2874
"Juca Lanches",2875
"2",2880
"Posto Dallas",2882
"Pracinha da Igreja de São Pedro",2891
"Salão de Festas Cipresa",2894
"Bob's",2896
"Esquadrão da Moda",2897
"Sala de Aula 06",2898
"Padaria Alvorada",2902
"Posto Ale - Posto Maia",2903
"Mercadinho Sousa",2906
"Arquibancada Sul",2908
"Rio Bodocongó",2909
"Escola Normal Estadual Padre Emídio Viana Correia",2910
"Comunidade Católica Shalom Missão Campina Grande",2911
"Banca e Conveniência",2913
"Pastel do Galego",2914
"Coreto",2915
"Congregação Cristã do Brasil",2921
"Museu de Artes Assis Chateaubriand",2932
"Escola Municipal Almira de Oliveira",2936
"Casa do Colegial",2937
"Drogasil",2940
"Biblioteca Poeta Zé da Luz",2941
"Tapiocaria",2944
"Quadra de futebol",2945
"Cactos Lanches",2947
"Pracinha da Igreja de São Pedro",2951
"Panificadora Basílio II",2966
"ESTUFA (UFCG)",2967
"Brazauto",2968
"Praça do Trabalho",2969
"Escola José André da Rocha",2976
"UNINASSAU - Campus Palmeira",2978
"Nutri Vida",2983
"Estádio Governador Ernani Sátiro - O Amigão",2984
"Estacionamento",2988
"Cavesa",2991
"Laboratório de Alta Tensão - LAT (UFCG)",2992
"Nildo Lanches",2997
"UFCG - Universidade Federal de Campina Grande",3004
"Hiper Redepharm",3005
"Escola Estadual do José Pinheiro",3006
"Vila Centenário",3007
"Posto Unigás",3008
"Posto Amigão",3010
"Escola Municipal Manuel Francisco da Motta",3014
"Igreja União",3017
"Boi e Brasa Churrascaria",3018
"Bloco BO (UFCG)",3019
"Pães e Lanches",3031
"Loteamento Colinas do Sol",3035
"Restaurante Paulistano",3039
"Tec Lanches",3041
"Link Park",3043
"Canal Fluvial de Bodocongó",3047
"FACISA",3051
"Cabana's Burguer",3053
"Restaurante Universitário",3058
"Terminal Rodoviário de Campina Grande",3060
"BNB Clube",3063
"Bloco CZ1 (UFCG)",3064
"Paróquia de Igreja do Rosário",3066
"Obelisco",3075
"Churrasquinho do Sr. Marcos",3081
"INSS",3084
"Bloco BA (UFCG)",3085
"Anel do Brejo",3087
"Bloco CJ / CJ1 (UFCG)",3090
"Clínica Veterinária Dr. Salomão",3092
"Cemitério do Araxá - Jeremias",3097
"Skin Temakeria",3099
"Replastil",3105
"Laboratório de Sistemas de Informação - LSI",3107
"Praça do Coreto do laguinho",3108
"Slaviero Essential",3115
"Museu Digital",3117
"Campo de Futebol de Areia",3119
"Estacionamento Hiper Bompreço",3121
"Estacionamento Rotativo",3122
"Instituto Federal de Educação, Ciência e Tecnologia da Paraíba",3123
"Ministério Público",3130
"Faculdade Integrada de Patos",3132
"Vila Malvinas",3134
"ÁREA VERDE",3141
"Clube dos Bancários",3142
"Bloco BE (UFCG)",3144
"Condomínio Rocha Cavalcante 2",3148
"Panificadora Servilha",3149
"Açaiteria",3165
"Laboratório de Geologia",3166
"Churrascaria Alto da Serra",3167
"Bloco AG (UFCG)",3168
"Luiz Gonzaga",3169
"Posto Santa Ana",3170
"Laboratório de Informática 2",3182
"Pracinha ESFIT",3183
"Bloco 1E e Bloco 2E (Cipresa)",3186
"Praça das Humanidades",3189
"Açougue 3 Corações",3192
"Pátio Facisa",3195
"Poetize",3199
"Bloco BZ (Central de Aula - UFCG)",3201
"Congregação Cristã do Brasil",3204
"Bloco BI (UFCG)",3206
"La Suissa",3210
"Bar do Alex",3211
"Praça Antônio Pessoa",3223
"Igreja Uiversal do Catolé",3228
"Bloco BL (UFCG)",3229
"Alojamaneto - Campo de Futebol (UFCG)",3230
"Central de Línguas (UFCG)",3232
"Supermercado Ideal",3242
"Museu do Semi-árido (UFCG)",3244
"Água Verde",3248
"Piscina",3249
"São Jorge",3250
"Igreja Biblíca Semear",3251
"Mercado Luna",3252
"Good China",3255
"Casa do Colegial",3260
"Monumento aos Tropeiros da Borborema",3264
"Terreno da Prefeitura",3265
"Ginásio Poliesportivo",3266
"Panificadora e Mercadinho Novo Horizonte",3272
"praça dos pneus",3273
"Corpo de Bombeiros",3280
"Igreja Pentecostal Evangélica da Fé",3281
"Riacho das Piabas",3284
"Igreja Congrecional da Zona Sul",3285
"Sesc Centro",3286
"Templo dos Testemunhos de Jeová",3288
"ESAC / TV ITARARE / FUNDAÇÃO PEDRO AMERICO",3289
"fiteiro do preto",3290
"Quiosque de Marcos",3293
"Cinesercla",3302
"Praça Antônio Pessoa",3303
"Shopping Campina Grande",3305
"RM-Tech Assistência Técnica",3307
"2º batalhão de Policia Militar da PB",3308
"Shopping Partage",3309
"Well Bike",3310
"Praça do Rosário",3312
